movie_id,title,release_year,rating_count,average_rating,rating_stddev,volume_vs_variability,volume_vs_average,average_vs_variability
1580,Men in Black (a.k.a. MIB) (1997),1997,165,3.49,0.92,-0.058,0.303,-0.423
590,Dances with Wolves (1990),1990,164,3.84,0.86,-0.058,0.303,-0.423
648,Mission: Impossible (1996),1996,162,3.54,0.90,-0.058,0.303,-0.423
344,Ace Ventura: Pet Detective (1994),1994,161,3.04,1.07,-0.058,0.303,-0.423
4226,Memento (2000),2000,159,4.12,0.90,-0.058,0.303,-0.423
367,"Mask, The (1994)",1994,157,3.18,1.00,-0.058,0.303,-0.423
58559,"Dark Knight, The (2008)",2008,149,4.24,0.72,-0.058,0.303,-0.423
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,149,3.78,0.83,-0.058,0.303,-0.423
1214,Alien (1979),1979,146,3.97,0.94,-0.058,0.303,-0.423
595,Beauty and the Beast (1991),1991,146,3.77,0.84,-0.058,0.303,-0.423
1036,Die Hard (1988),1988,145,3.86,0.91,-0.058,0.303,-0.423
165,Die Hard: With a Vengeance (1995),1995,144,3.56,0.92,-0.058,0.303,-0.423
500,Mrs. Doubtfire (1993),1993,144,3.39,0.90,-0.058,0.303,-0.423
1265,Groundhog Day (1993),1993,143,3.94,0.85,-0.058,0.303,-0.423
79132,Inception (2010),2010,143,4.07,0.96,-0.058,0.303,-0.423
1197,"Princess Bride, The (1987)",1987,142,4.23,0.81,-0.058,0.303,-0.423
6377,Finding Nemo (2003),2003,141,3.96,0.77,-0.058,0.303,-0.423
1704,Good Will Hunting (1997),1997,141,4.08,0.78,-0.058,0.303,-0.423
1291,Indiana Jones and the Last Crusade (1989),1989,140,4.05,0.78,-0.058,0.303,-0.423
2628,Star Wars: Episode I - The Phantom Menace (1999),1999,140,3.11,1.12,-0.058,0.303,-0.423
316,Stargate (1994),1994,140,3.38,0.84,-0.058,0.303,-0.423
1721,Titanic (1997),1997,140,3.41,1.05,-0.058,0.303,-0.423
153,Batman Forever (1995),1995,137,2.92,0.90,-0.058,0.303,-0.423
1136,Monty Python and the Holy Grail (1975),1975,136,4.16,0.91,-0.058,0.303,-0.423
597,Pretty Woman (1990),1990,135,3.49,0.85,-0.058,0.303,-0.423
231,Dumb & Dumber (Dumb and Dumber) (1994),1994,133,3.06,1.12,-0.058,0.303,-0.423
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1994,133,4.02,0.86,-0.058,0.303,-0.423
1193,One Flew Over the Cuckoo's Nest (1975),1975,133,4.20,0.76,-0.058,0.303,-0.423
3793,X-Men (2000),2000,133,3.70,0.86,-0.058,0.303,-0.423
10,GoldenEye (1995),1995,132,3.50,0.86,-0.058,0.303,-0.423
4886,"Monsters, Inc. (2001)",2001,132,3.87,0.77,-0.058,0.303,-0.423
7361,Eternal Sunshine of the Spotless Mind (2004),2004,131,4.16,0.78,-0.058,0.303,-0.423
6874,Kill Bill: Vol. 1 (2003),2003,131,3.96,0.84,-0.058,0.303,-0.423
1089,Reservoir Dogs (1992),1992,131,4.20,0.79,-0.058,0.303,-0.423
1240,"Terminator, The (1984)",1984,131,3.90,0.85,-0.058,0.303,-0.423
2329,American History X (1998),1998,129,4.22,0.64,-0.058,0.303,-0.423
1221,"Godfather: Part II, The (1974)",1974,129,4.26,0.80,-0.058,0.303,-0.423
34,Babe (1995),1995,128,3.65,1.04,-0.058,0.303,-0.423
1200,Aliens (1986),1986,126,3.96,1.01,-0.058,0.303,-0.423
1213,Goodfellas (1990),1990,126,4.25,0.68,-0.058,0.303,-0.423
8961,"Incredibles, The (2004)",2004,125,3.84,0.76,-0.058,0.303,-0.423
1682,"Truman Show, The (1998)",1998,125,3.81,0.83,-0.058,0.303,-0.423
541,Blade Runner (1982),1982,124,4.10,0.95,-0.058,0.303,-0.423
4995,"Beautiful Mind, A (2001)",2001,123,4.00,0.77,-0.058,0.303,-0.423
736,Twister (1996),1996,123,3.32,1.05,-0.058,0.303,-0.423
1097,E.T. the Extra-Terrestrial (1982),1982,122,3.77,1.07,-0.058,0.303,-0.423
5349,Spider-Man (2002),2002,122,3.54,0.95,-0.058,0.303,-0.423
2683,Austin Powers: The Spy Who Shagged Me (1999),1999,121,3.20,1.22,-0.058,0.303,-0.423
733,"Rock, The (1996)",1996,121,3.64,0.91,-0.058,0.303,-0.423
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",2001,120,4.18,0.89,-0.058,0.303,-0.423
1206,"Clockwork Orange, A (1971)",1971,120,4.00,1.01,-0.058,0.303,-0.423
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),1984,120,3.78,0.86,-0.058,0.303,-0.423
5445,Minority Report (2002),2002,120,3.64,0.90,-0.058,0.303,-0.423
4963,Ocean's Eleven (2001),2001,119,3.84,0.79,-0.058,0.303,-0.423
1073,Willy Wonka & the Chocolate Factory (1971),1971,119,3.87,0.92,-0.058,0.303,-0.423
33794,Batman Begins (2005),2005,116,3.86,0.83,-0.058,0.303,-0.423
1527,"Fifth Element, The (1997)",1997,116,3.75,0.90,-0.058,0.303,-0.423
586,Home Alone (1990),1990,116,3.00,0.99,-0.058,0.303,-0.423
5989,Catch Me If You Can (2002),2002,115,3.92,0.76,-0.058,0.303,-0.423
587,Ghost (1990),1990,115,3.43,0.94,-0.058,0.303,-0.423
208,Waterworld (1995),1995,115,2.91,0.96,-0.058,0.303,-0.423
1968,"Breakfast Club, The (1985)",1985,113,3.78,0.89,-0.058,0.303,-0.423
5418,"Bourne Identity, The (2002)",2002,112,3.82,0.89,-0.058,0.303,-0.423
185,"Net, The (1995)",1995,112,3.04,1.04,-0.058,0.303,-0.423
3147,"Green Mile, The (1999)",1999,111,4.15,0.73,-0.058,0.303,-0.423
349,Clear and Present Danger (1994),1994,110,3.60,0.78,-0.058,0.303,-0.423
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",2000,110,3.84,1.03,-0.058,0.303,-0.423
2,Jumanji (1995),1995,110,3.43,0.88,-0.058,0.303,-0.423
7438,Kill Bill: Vol. 2 (2004),2004,110,3.87,0.93,-0.058,0.303,-0.423
924,2001: A Space Odyssey (1968),1968,109,3.89,1.10,-0.058,0.303,-0.423
4878,Donnie Darko (2001),2001,109,3.98,0.96,-0.058,0.303,-0.423
2918,Ferris Bueller's Day Off (1986),1986,109,3.84,0.83,-0.058,0.303,-0.423
253,Interview with the Vampire: The Vampire Chronicles (1994),1994,109,3.46,1.02,-0.058,0.303,-0.423
1258,"Shining, The (1980)",1980,109,4.08,0.76,-0.058,0.303,-0.423
2115,Indiana Jones and the Temple of Doom (1984),1984,108,3.64,0.85,-0.058,0.303,-0.423
329,Star Trek: Generations (1994),1994,108,3.39,0.81,-0.058,0.303,-0.423
1208,Apocalypse Now (1979),1979,107,4.22,0.83,-0.058,0.303,-0.423
48516,"Departed, The (2006)",2006,107,4.25,0.69,-0.058,0.303,-0.423
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),2001,107,3.76,0.82,-0.058,0.303,-0.423
1732,"Big Lebowski, The (1998)",1998,106,3.92,1.14,-0.058,0.303,-0.423
539,Sleepless in Seattle (1993),1993,106,3.47,0.84,-0.058,0.303,-0.423
1923,There's Something About Mary (1998),1998,105,3.68,0.87,-0.058,0.303,-0.423
68954,Up (2009),2009,105,4.00,0.82,-0.058,0.303,-0.423
223,Clerks (1994),1994,104,3.86,0.95,-0.058,0.303,-0.423
39,Clueless (1995),1995,104,3.29,1.04,-0.058,0.303,-0.423
111,Taxi Driver (1976),1976,104,4.11,0.82,-0.058,0.303,-0.423
60069,WALL·E (2008),2008,104,4.06,0.86,-0.058,0.303,-0.423
2706,American Pie (1999),1999,103,3.38,1.04,-0.058,0.303,-0.423
161,Crimson Tide (1995),1995,103,3.64,0.88,-0.058,0.303,-0.423
357,Four Weddings and a Funeral (1994),1994,103,3.52,1.11,-0.058,0.303,-0.423
1222,Full Metal Jacket (1987),1987,102,4.10,0.81,-0.058,0.303,-0.423
5816,Harry Potter and the Chamber of Secrets (2002),2002,102,3.60,0.93,-0.058,0.303,-0.423
6,Heat (1995),1995,102,3.95,0.82,-0.058,0.303,-0.423
778,Trainspotting (1996),1996,102,4.04,0.83,-0.058,0.303,-0.423
434,Cliffhanger (1993),1993,101,3.03,0.90,-0.058,0.303,-0.423
454,"Firm, The (1993)",1993,101,3.53,0.83,-0.058,0.303,-0.423
292,Outbreak (1995),1995,101,3.43,0.90,-0.058,0.303,-0.423
1517,Austin Powers: International Man of Mystery (1997),1997,100,3.54,0.89,-0.058,0.303,-0.423
912,Casablanca (1942),1942,100,4.24,0.90,-0.058,0.303,-0.423
4022,Cast Away (2000),2000,100,3.70,0.77,-0.058,0.303,-0.423
44191,V for Vendetta (2006),2006,100,3.89,0.79,-0.058,0.303,-0.423
2997,Being John Malkovich (1999),1999,99,3.95,0.90,-0.058,0.303,-0.423
104,Happy Gilmore (1996),1996,99,3.44,0.99,-0.058,0.303,-0.423
339,While You Were Sleeping (1995),1995,98,3.47,0.88,-0.058,0.303,-0.423
72998,Avatar (2009),2009,97,3.60,1.07,-0.058,0.303,-0.423
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,97,4.27,0.81,-0.058,0.303,-0.423
1617,L.A. Confidential (1997),1997,97,4.06,0.83,-0.058,0.303,-0.423
3114,Toy Story 2 (1999),1999,97,3.86,0.83,-0.058,0.303,-0.423
2987,Who Framed Roger Rabbit? (1988),1988,97,3.57,0.92,-0.058,0.303,-0.423
1784,As Good as It Gets (1997),1997,96,3.70,0.89,-0.058,0.303,-0.423
6365,"Matrix Reloaded, The (2003)",2003,96,3.35,1.00,-0.058,0.303,-0.423
1961,Rain Man (1988),1988,96,3.81,0.78,-0.058,0.303,-0.423
3949,Requiem for a Dream (2000),2000,96,3.92,1.09,-0.058,0.303,-0.423
59315,Iron Man (2008),2008,94,3.82,0.84,-0.058,0.303,-0.423
4027,"O Brother, Where Art Thou? (2000)",2000,94,3.81,0.94,-0.058,0.303,-0.423
2502,Office Space (1999),1999,94,4.09,0.81,-0.058,0.303,-0.423
8368,Harry Potter and the Prisoner of Azkaban (2004),2004,93,3.91,0.73,-0.058,0.303,-0.423
551,"Nightmare Before Christmas, The (1993)",1993,93,3.55,0.99,-0.058,0.303,-0.423
4011,Snatch (2000),2000,93,4.16,0.79,-0.058,0.303,-0.423
1917,Armageddon (1998),1998,92,3.05,1.11,-0.058,0.303,-0.423
2355,"Bug's Life, A (1998)",1998,92,3.52,0.89,-0.058,0.303,-0.423
288,Natural Born Killers (1994),1994,92,3.23,1.13,-0.058,0.303,-0.423
2396,Shakespeare in Love (1998),1998,92,3.78,1.04,-0.058,0.303,-0.423
8360,Shrek 2 (2004),2004,92,3.58,0.94,-0.058,0.303,-0.423
5378,Star Wars: Episode II - Attack of the Clones (2002),2002,92,3.16,1.13,-0.058,0.303,-0.423
919,"Wizard of Oz, The (1939)",1939,92,3.88,1.03,-0.058,0.303,-0.423
2174,Beetlejuice (1988),1988,91,3.47,0.91,-0.058,0.303,-0.423
2797,Big (1988),1988,91,3.72,0.88,-0.058,0.303,-0.423
1387,Jaws (1975),1975,91,4.01,0.92,-0.058,0.303,-0.423
3948,Meet the Parents (2000),2000,91,3.42,0.93,-0.058,0.303,-0.423
1259,Stand by Me (1986),1986,91,4.01,0.72,-0.058,0.303,-0.423
1356,Star Trek: First Contact (1996),1996,91,3.88,0.99,-0.058,0.303,-0.423
1610,"Hunt for Red October, The (1990)",1990,90,3.87,0.88,-0.058,0.303,-0.423
48780,"Prestige, The (2006)",2006,90,4.01,0.79,-0.058,0.303,-0.423
21,Get Shorty (1995),1995,89,3.49,0.87,-0.058,0.303,-0.423
1080,Monty Python's Life of Brian (1979),1979,89,3.93,1.07,-0.058,0.303,-0.423
19,Ace Ventura: When Nature Calls (1995),1995,88,2.73,1.06,-0.058,0.303,-0.423
2012,Back to the Future Part III (1990),1990,88,3.37,0.92,-0.058,0.303,-0.423
68157,Inglourious Basterds (2009),2009,88,4.14,0.82,-0.058,0.303,-0.423
2324,Life Is Beautiful (La Vita è bella) (1997),1997,88,4.15,1.04,-0.058,0.303,-0.423
2916,Total Recall (1990),1990,88,3.65,0.80,-0.058,0.303,-0.423
2791,Airplane! (1980),1980,87,3.86,0.96,-0.058,0.303,-0.423
2011,Back to the Future Part II (1989),1989,87,3.51,1.03,-0.058,0.303,-0.423
2617,"Mummy, The (1999)",1999,87,3.12,1.14,-0.058,0.303,-0.423
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),2001,87,4.16,0.80,-0.058,0.303,-0.423
141,"Birdcage, The (1996)",1996,86,3.49,0.84,-0.058,0.303,-0.423
1246,Dead Poets Society (1989),1989,86,3.96,0.94,-0.058,0.303,-0.423
1653,Gattaca (1997),1997,86,3.95,0.81,-0.058,0.303,-0.423
1391,Mars Attacks! (1996),1996,86,3.09,1.18,-0.058,0.303,-0.423
5218,Ice Age (2002),2002,85,3.69,0.73,-0.058,0.303,-0.423
1393,Jerry Maguire (1996),1996,85,3.59,0.91,-0.058,0.303,-0.423
1307,When Harry Met Sally... (1989),1989,85,3.86,0.82,-0.058,0.303,-0.423
410,Addams Family Values (1993),1993,84,3.10,0.75,-0.058,0.303,-0.423
1220,"Blues Brothers, The (1980)",1980,84,3.81,0.91,-0.058,0.303,-0.423
95,Broken Arrow (1996),1996,84,3.02,1.01,-0.058,0.303,-0.423
904,Rear Window (1954),1954,84,4.26,0.79,-0.058,0.303,-0.423
32587,Sin City (2005),2005,84,3.86,0.86,-0.058,0.303,-0.423
3897,Almost Famous (2000),2000,83,3.87,0.77,-0.058,0.303,-0.423
1219,Psycho (1960),1960,83,4.04,0.85,-0.058,0.303,-0.423
1101,Top Gun (1986),1986,83,3.30,1.11,-0.058,0.303,-0.423
16,Casino (1995),1995,82,3.93,0.89,-0.058,0.303,-0.423
1584,Contact (1997),1997,82,3.65,1.02,-0.058,0.303,-0.423
788,"Nutty Professor, The (1996)",1996,82,2.73,1.17,-0.058,0.303,-0.423
54286,"Bourne Ultimatum, The (2007)",2007,81,3.70,0.96,-0.058,0.303,-0.423
49272,Casino Royale (2006),2006,81,3.94,0.81,-0.058,0.303,-0.423
442,Demolition Man (1993),1993,81,3.09,0.99,-0.058,0.303,-0.423
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",2006,81,3.81,0.93,-0.058,0.303,-0.423
300,Quiz Show (1994),1994,81,3.52,0.85,-0.058,0.303,-0.423
317,"Santa Clause, The (1994)",1994,81,3.20,1.06,-0.058,0.303,-0.423
51662,300 (2007),2007,80,3.68,0.93,-0.058,0.303,-0.423
2291,Edward Scissorhands (1990),1990,80,3.70,0.63,-0.058,0.303,-0.423
62,Mr. Holland's Opus (1995),1995,80,3.71,1.05,-0.058,0.303,-0.423
1676,Starship Troopers (1997),1997,80,3.33,1.09,-0.058,0.303,-0.423
3052,Dogma (1999),1999,79,3.65,0.98,-0.058,0.303,-0.423
1247,"Graduate, The (1967)",1967,79,4.06,0.91,-0.058,0.303,-0.423
6934,"Matrix Revolutions, The (2003)",2003,79,3.15,1.14,-0.058,0.303,-0.423
8636,Spider-Man 2 (2004),2004,79,3.80,0.83,-0.058,0.303,-0.423
3751,Chicken Run (2000),2000,78,3.55,0.85,-0.058,0.303,-0.423
33493,Star Wars: Episode III - Revenge of the Sith (2005),2005,78,3.43,1.08,-0.058,0.303,-0.423
1573,Face/Off (1997),1997,77,3.37,1.04,-0.058,0.303,-0.423
1625,"Game, The (1997)",1997,77,3.70,1.02,-0.058,0.303,-0.423
46578,Little Miss Sunshine (2006),2006,77,3.88,0.84,-0.058,0.303,-0.423
3623,Mission: Impossible II (2000),2000,77,2.71,1.05,-0.058,0.303,-0.423
8874,Shaun of the Dead (2004),2004,77,4.01,0.93,-0.058,0.303,-0.423
594,Snow White and the Seven Dwarfs (1937),1937,77,3.62,0.79,-0.058,0.303,-0.423
337,What's Eating Gilbert Grape (1993),1993,77,3.77,0.94,-0.058,0.303,-0.423
1225,Amadeus (1984),1984,76,4.18,0.75,-0.058,0.303,-0.423
91529,"Dark Knight Rises, The (2012)",2012,76,3.99,0.93,-0.058,0.303,-0.423
440,Dave (1993),1993,76,3.55,0.67,-0.058,0.303,-0.423
69122,"Hangover, The (2009)",2009,76,3.63,1.03,-0.058,0.303,-0.423
25,Leaving Las Vegas (1995),1995,76,3.63,1.12,-0.058,0.303,-0.423
2700,"South Park: Bigger, Longer and Uncut (1999)",1999,76,3.86,1.01,-0.058,0.303,-0.423
6333,X2: X-Men United (2003),2003,76,3.72,0.88,-0.058,0.303,-0.423
8665,"Bourne Supremacy, The (2004)",2004,75,3.79,0.84,-0.058,0.303,-0.423
6016,City of God (Cidade de Deus) (2002),2002,75,4.15,0.77,-0.058,0.303,-0.423
3175,Galaxy Quest (1999),1999,75,3.58,1.04,-0.058,0.303,-0.423
3481,High Fidelity (2000),2000,75,3.67,0.96,-0.058,0.303,-0.423
2000,Lethal Weapon (1987),1987,75,3.67,0.76,-0.058,0.303,-0.423
2692,Run Lola Run (Lola rennt) (1998),1998,75,4.00,0.65,-0.058,0.303,-0.423
35836,"40-Year-Old Virgin, The (2005)",2005,74,3.55,0.93,-0.058,0.303,-0.423
1485,Liar Liar (1997),1997,74,3.03,0.98,-0.058,0.303,-0.423
6711,Lost in Translation (2003),2003,74,4.03,0.79,-0.058,0.303,-0.423
368,Maverick (1994),1994,74,3.50,0.84,-0.058,0.303,-0.423
109487,Interstellar (2014),2014,73,3.99,0.97,-0.058,0.303,-0.423
3994,Unbreakable (2000),2000,73,3.48,1.03,-0.058,0.303,-0.423
3977,Charlie's Angels (2000),2000,72,2.72,1.03,-0.058,0.303,-0.423
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1966,72,4.15,0.87,-0.058,0.303,-0.423
45722,Pirates of the Caribbean: Dead Man's Chest (2006),2006,72,3.51,0.90,-0.058,0.303,-0.423
50872,Ratatouille (2007),2007,72,3.87,0.77,-0.058,0.303,-0.423
6373,Bruce Almighty (2003),2003,71,3.32,0.81,-0.058,0.303,-0.423
99114,Django Unchained (2012),2012,71,3.94,0.91,-0.058,0.303,-0.423
1079,"Fish Called Wanda, A (1988)",1988,71,3.92,0.94,-0.058,0.303,-0.423
40815,Harry Potter and the Goblet of Fire (2005),2005,71,3.82,0.70,-0.058,0.303,-0.423
1028,Mary Poppins (1964),1964,71,3.89,0.86,-0.058,0.303,-0.423
63082,Slumdog Millionaire (2008),2008,71,3.81,1.08,-0.058,0.303,-0.423
11,"American President, The (1995)",1995,70,3.67,0.90,-0.058,0.303,-0.423
235,Ed Wood (1994),1994,70,3.68,0.91,-0.058,0.303,-0.423
3408,Erin Brockovich (2000),2000,70,3.53,0.78,-0.058,0.303,-0.423
474,In the Line of Fire (1993),1993,70,3.69,0.69,-0.058,0.303,-0.423
2985,RoboCop (1987),1987,70,3.37,0.98,-0.058,0.303,-0.423
1407,Scream (1996),1996,70,3.20,1.20,-0.058,0.303,-0.423
4034,Traffic (2000),2000,70,3.90,0.87,-0.058,0.303,-0.423
89745,"Avengers, The (2012)",2012,69,3.87,1.00,-0.058,0.303,-0.423
7147,Big Fish (2003),2003,69,3.83,0.94,-0.058,0.303,-0.423
923,Citizen Kane (1941),1941,69,4.04,0.97,-0.058,0.303,-0.423
520,Robin Hood: Men in Tights (1993),1993,69,3.13,1.07,-0.058,0.303,-0.423
1278,Young Frankenstein (1974),1974,69,3.99,0.89,-0.058,0.303,-0.423
1370,Die Hard 2 (1990),1990,68,3.40,0.84,-0.058,0.303,-0.423
1380,Grease (1978),1978,68,3.14,1.13,-0.058,0.303,-0.423
2054,"Honey, I Shrunk the Kids (1989)",1989,68,2.76,0.89,-0.058,0.303,-0.423
266,Legends of the Fall (1994),1994,68,3.40,0.98,-0.058,0.303,-0.423
3753,"Patriot, The (2000)",2000,68,3.45,1.04,-0.058,0.303,-0.423
48,Pocahontas (1995),1995,68,3.15,1.05,-0.058,0.303,-0.423
4979,"Royal Tenenbaums, The (2001)",2001,68,3.68,1.06,-0.058,0.303,-0.423
36,Dead Man Walking (1995),1995,67,3.84,0.94,-0.058,0.303,-0.423
2353,Enemy of the State (1998),1998,67,3.49,0.89,-0.058,0.303,-0.423
2081,"Little Mermaid, The (1989)",1989,67,3.43,1.07,-0.058,0.303,-0.423
2542,"Lock, Stock & Two Smoking Barrels (1998)",1998,67,4.05,0.88,-0.058,0.303,-0.423
1544,"Lost World: Jurassic Park, The (1997)",1997,67,2.75,0.99,-0.058,0.303,-0.423
4262,Scarface (1983),1983,67,3.93,0.87,-0.058,0.303,-0.423
17,Sense and Sensibility (1995),1995,67,3.78,1.15,-0.058,0.303,-0.423
74458,Shutter Island (2010),2010,67,4.02,0.94,-0.058,0.303,-0.423
163,Desperado (1995),1995,66,3.56,0.99,-0.058,0.303,-0.423
508,Philadelphia (1993),1993,66,3.61,0.89,-0.058,0.303,-0.423
6863,School of Rock (2003),2003,66,3.40,0.78,-0.058,0.303,-0.423
1288,This Is Spinal Tap (1984),1984,66,4.02,0.75,-0.058,0.303,-0.423
5481,Austin Powers in Goldmember (2002),2002,65,2.85,1.05,-0.058,0.303,-0.423
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2006,65,3.35,1.14,-0.058,0.303,-0.423
4246,Bridget Jones's Diary (2001),2001,65,3.62,0.93,-0.058,0.303,-0.423
70286,District 9 (2009),2009,65,3.78,0.99,-0.058,0.303,-0.423
653,Dragonheart (1996),1996,65,3.09,0.85,-0.058,0.303,-0.423
56367,Juno (2007),2007,65,3.77,0.91,-0.058,0.303,-0.423
553,Tombstone (1993),1993,65,3.82,1.01,-0.058,0.303,-0.423
555,True Romance (1993),1993,65,3.80,0.90,-0.058,0.303,-0.423
2194,"Untouchables, The (1987)",1987,65,3.94,0.73,-0.058,0.303,-0.423
2710,"Blair Witch Project, The (1999)",1999,64,2.80,1.37,-0.058,0.303,-0.423
48774,Children of Men (2006),2006,64,3.95,0.86,-0.058,0.303,-0.423
353,"Crow, The (1994)",1994,64,3.61,0.97,-0.058,0.303,-0.423
786,Eraser (1996),1996,64,3.11,1.04,-0.058,0.303,-0.423
4447,Legally Blonde (2001),2001,64,3.16,0.95,-0.058,0.303,-0.423
4025,Miss Congeniality (2000),2000,64,3.05,0.99,-0.058,0.303,-0.423
55820,No Country for Old Men (2007),2007,64,3.90,1.01,-0.058,0.303,-0.423
1954,Rocky (1976),1976,64,3.83,1.02,-0.058,0.303,-0.423
1035,"Sound of Music, The (1965)",1965,64,3.94,1.03,-0.058,0.303,-0.423
1234,"Sting, The (1973)",1973,64,3.98,0.95,-0.058,0.303,-0.423
435,Coneheads (1993),1993,63,2.42,1.07,-0.058,0.303,-0.423
1090,Platoon (1986),1986,63,3.98,0.94,-0.058,0.303,-0.423
2657,"Rocky Horror Picture Show, The (1975)",1975,63,3.34,1.11,-0.058,0.303,-0.423
5502,Signs (2002),2002,63,3.17,0.98,-0.058,0.303,-0.423
1127,"Abyss, The (1989)",1989,62,3.48,0.93,-0.058,0.303,-0.423
3421,Animal House (1978),1978,62,3.69,1.10,-0.058,0.303,-0.423
3671,Blazing Saddles (1974),1974,62,3.94,0.92,-0.058,0.303,-0.423
1304,Butch Cassidy and the Sundance Kid (1969),1969,62,3.94,0.93,-0.058,0.303,-0.423
158,Casper (1995),1995,62,2.81,1.11,-0.058,0.303,-0.423
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",2005,62,3.44,0.94,-0.058,0.303,-0.423
56174,I Am Legend (2007),2007,62,3.48,0.79,-0.058,0.303,-0.423
173,Judge Dredd (1995),1995,62,2.67,1.03,-0.058,0.303,-0.423
7143,"Last Samurai, The (2003)",2003,62,3.90,0.59,-0.058,0.303,-0.423
3081,Sleepy Hollow (1999),1999,62,3.48,0.91,-0.058,0.303,-0.423
1374,Star Trek II: The Wrath of Khan (1982),1982,62,3.77,1.04,-0.058,0.303,-0.423
30793,Charlie and the Chocolate Factory (2005),2005,61,3.00,0.90,-0.058,0.303,-0.423
3717,Gone in 60 Seconds (2000),2000,61,3.22,0.82,-0.058,0.303,-0.423
51255,Hot Fuzz (2007),2007,61,4.00,0.91,-0.058,0.303,-0.423
