release_year,event_name,event_type,genre,rating_count,average_rating,rating_stddev
1977,Star Wars release,Franchise,Thriller,25,3.32,0.98
1977,Star Wars release,Franchise,Fantasy,20,2.68,0.96
1977,Star Wars release,Franchise,Musical,18,2.86,0.74
1977,Star Wars release,Franchise,Crime,16,3.28,1.11
1977,Star Wars release,Franchise,War,16,3.63,0.65
1977,Star Wars release,Franchise,Documentary,6,3.83,0.41
1977,Star Wars release,Franchise,Mystery,3,3.83,1.04
1977,Star Wars release,Franchise,Western,1,3.00,
1993,Jurassic Park release,Franchise,Drama,1577,3.56,1.01
1993,Jurassic Park release,Franchise,Comedy,1519,3.26,1.07
1993,Jurassic Park release,Franchise,Thriller,985,3.52,0.95
1993,Jurassic Park release,Franchise,Action,949,3.34,1.03
1993,Jurassic Park release,Franchise,Romance,711,3.51,0.95
1993,Jurassic Park release,Franchise,Adventure,701,3.27,1.04
1993,Jurassic Park release,Franchise,Fantasy,507,3.43,1.06
1993,Jurassic Park release,Franchise,Sci-Fi,447,3.25,1.10
1993,Jurassic Park release,Franchise,Children,426,3.15,1.15
1993,Jurassic Park release,Franchise,War,296,3.92,1.12
1993,Jurassic Park release,Franchise,Crime,258,3.54,1.03
1993,Jurassic Park release,Franchise,Animation,169,3.76,1.01
1993,Jurassic Park release,Franchise,Musical,118,3.54,0.93
1993,Jurassic Park release,Franchise,Horror,103,3.26,1.21
1993,Jurassic Park release,Franchise,Western,71,3.75,1.01
1993,Jurassic Park release,Franchise,Mystery,69,3.05,0.95
1993,Jurassic Park release,Franchise,Documentary,10,3.60,0.70
1993,Jurassic Park release,Franchise,Film-Noir,1,3.00,
2001,The Lord of the Rings trilogy,Franchise,Comedy,1647,3.34,1.09
2001,The Lord of the Rings trilogy,Franchise,Drama,1552,3.56,0.99
2001,The Lord of the Rings trilogy,Franchise,Romance,1124,3.49,1.07
2001,The Lord of the Rings trilogy,Franchise,Adventure,1080,3.62,1.05
2001,The Lord of the Rings trilogy,Franchise,Thriller,883,3.48,1.01
2001,The Lord of the Rings trilogy,Franchise,Fantasy,873,3.80,0.96
2001,The Lord of the Rings trilogy,Franchise,Action,700,3.20,1.01
2001,The Lord of the Rings trilogy,Franchise,Crime,556,3.54,0.93
2001,The Lord of the Rings trilogy,Franchise,Animation,526,3.80,0.92
2001,The Lord of the Rings trilogy,Franchise,Children,510,3.67,0.94
2001,The Lord of the Rings trilogy,Franchise,Sci-Fi,447,3.41,1.03
2001,The Lord of the Rings trilogy,Franchise,Mystery,442,3.62,1.01
2001,The Lord of the Rings trilogy,Franchise,War,196,3.52,0.98
2001,The Lord of the Rings trilogy,Franchise,Horror,182,3.23,1.13
2001,The Lord of the Rings trilogy,Franchise,Musical,67,3.49,1.26
2001,The Lord of the Rings trilogy,Franchise,Film-Noir,51,3.84,0.91
2001,The Lord of the Rings trilogy,Franchise,Documentary,34,3.78,0.69
2001,The Lord of the Rings trilogy,Franchise,Western,6,2.17,1.29
2002,The Lord of the Rings trilogy,Franchise,Drama,1442,3.60,0.91
2002,The Lord of the Rings trilogy,Franchise,Thriller,1159,3.41,0.99
2002,The Lord of the Rings trilogy,Franchise,Action,1153,3.41,1.02
2002,The Lord of the Rings trilogy,Franchise,Comedy,1097,3.18,1.07
2002,The Lord of the Rings trilogy,Franchise,Adventure,959,3.55,1.04
2002,The Lord of the Rings trilogy,Franchise,Crime,785,3.57,0.92
2002,The Lord of the Rings trilogy,Franchise,Sci-Fi,737,3.35,1.03
2002,The Lord of the Rings trilogy,Franchise,Romance,567,3.42,1.04
2002,The Lord of the Rings trilogy,Franchise,Mystery,414,3.50,0.98
2002,The Lord of the Rings trilogy,Franchise,Fantasy,410,3.55,1.10
2002,The Lord of the Rings trilogy,Franchise,Horror,335,3.17,1.05
2002,The Lord of the Rings trilogy,Franchise,Children,189,3.37,1.08
2002,The Lord of the Rings trilogy,Franchise,Animation,146,3.57,0.93
2002,The Lord of the Rings trilogy,Franchise,Documentary,141,3.72,0.81
2002,The Lord of the Rings trilogy,Franchise,IMAX,100,3.19,1.12
2002,The Lord of the Rings trilogy,Franchise,War,86,3.73,0.99
2002,The Lord of the Rings trilogy,Franchise,Musical,84,3.33,1.14
2002,The Lord of the Rings trilogy,Franchise,Western,3,3.17,0.76
2003,The Lord of the Rings trilogy,Franchise,Comedy,1366,3.39,1.02
2003,The Lord of the Rings trilogy,Franchise,Action,1362,3.44,1.05
2003,The Lord of the Rings trilogy,Franchise,Drama,1220,3.70,0.89
2003,The Lord of the Rings trilogy,Franchise,Adventure,1076,3.58,1.00
2003,The Lord of the Rings trilogy,Franchise,Thriller,825,3.38,1.05
2003,The Lord of the Rings trilogy,Franchise,Fantasy,663,3.67,0.95
2003,The Lord of the Rings trilogy,Franchise,Crime,588,3.46,0.99
2003,The Lord of the Rings trilogy,Franchise,Romance,529,3.48,0.99
2003,The Lord of the Rings trilogy,Franchise,Sci-Fi,458,3.21,1.08
2003,The Lord of the Rings trilogy,Franchise,Children,301,3.51,0.98
2003,The Lord of the Rings trilogy,Franchise,Mystery,221,3.71,0.88
2003,The Lord of the Rings trilogy,Franchise,Animation,212,3.84,0.82
2003,The Lord of the Rings trilogy,Franchise,IMAX,176,3.26,1.07
2003,The Lord of the Rings trilogy,Franchise,Horror,170,2.92,1.14
2003,The Lord of the Rings trilogy,Franchise,War,149,3.80,0.83
2003,The Lord of the Rings trilogy,Franchise,Musical,88,3.34,0.93
2003,The Lord of the Rings trilogy,Franchise,Documentary,65,3.95,0.63
2003,The Lord of the Rings trilogy,Franchise,Western,12,3.88,0.43
2007,Netflix begins streaming,Streaming,Drama,1082,3.69,0.91
2007,Netflix begins streaming,Streaming,Thriller,811,3.46,0.98
2007,Netflix begins streaming,Streaming,Action,806,3.48,1.00
2007,Netflix begins streaming,Streaming,Comedy,767,3.45,1.00
2007,Netflix begins streaming,Streaming,Crime,576,3.67,0.99
2007,Netflix begins streaming,Streaming,Adventure,489,3.33,0.99
2007,Netflix begins streaming,Streaming,Fantasy,361,3.41,1.02
2007,Netflix begins streaming,Streaming,Sci-Fi,355,3.37,1.00
2007,Netflix begins streaming,Streaming,Romance,329,3.50,0.92
2007,Netflix begins streaming,Streaming,Horror,328,3.37,1.01
2007,Netflix begins streaming,Streaming,IMAX,291,3.50,0.96
2007,Netflix begins streaming,Streaming,Animation,234,3.60,0.81
2007,Netflix begins streaming,Streaming,Children,172,3.48,0.95
2007,Netflix begins streaming,Streaming,Mystery,133,3.67,0.97
2007,Netflix begins streaming,Streaming,War,117,3.63,0.95
2007,Netflix begins streaming,Streaming,Musical,89,3.62,0.74
2007,Netflix begins streaming,Streaming,Western,63,4.10,0.79
2007,Netflix begins streaming,Streaming,Documentary,53,3.83,0.64
2008,Iron Man / MCU launch,Franchise,Drama,957,3.68,0.95
2008,Iron Man / MCU launch,Franchise,Action,907,3.55,0.96
2008,Iron Man / MCU launch,Franchise,Comedy,848,3.37,1.02
2008,Iron Man / MCU launch,Franchise,Adventure,584,3.48,0.97
2008,Iron Man / MCU launch,Franchise,Crime,566,3.80,0.91
2008,Iron Man / MCU launch,Franchise,Romance,515,3.53,1.06
2008,Iron Man / MCU launch,Franchise,Sci-Fi,445,3.53,0.99
2008,Iron Man / MCU launch,Franchise,Thriller,443,3.36,0.97
2008,Iron Man / MCU launch,Franchise,Animation,267,3.71,0.92
2008,Iron Man / MCU launch,Franchise,Children,266,3.67,0.95
2008,Iron Man / MCU launch,Franchise,IMAX,240,3.91,0.88
2008,Iron Man / MCU launch,Franchise,Fantasy,207,3.36,0.99
2008,Iron Man / MCU launch,Franchise,War,130,3.68,0.91
2008,Iron Man / MCU launch,Franchise,Mystery,98,3.32,0.93
2008,Iron Man / MCU launch,Franchise,Horror,52,3.21,1.23
2008,Iron Man / MCU launch,Franchise,Documentary,50,3.65,0.92
2008,Iron Man / MCU launch,Franchise,Musical,47,3.48,1.07
2008,Iron Man / MCU launch,Franchise,Western,15,3.40,0.81
2010,Instagram launch,Digital,Drama,704,3.70,0.99
2010,Instagram launch,Digital,Action,691,3.51,1.00
2010,Instagram launch,Digital,Comedy,632,3.47,1.03
2010,Instagram launch,Digital,Thriller,558,3.62,1.01
2010,Instagram launch,Digital,IMAX,480,3.78,0.99
2010,Instagram launch,Digital,Adventure,404,3.50,1.02
2010,Instagram launch,Digital,Fantasy,356,3.53,1.10
2010,Instagram launch,Digital,Sci-Fi,291,3.74,0.97
2010,Instagram launch,Digital,Crime,261,3.89,0.97
2010,Instagram launch,Digital,Mystery,250,4.02,0.93
2010,Instagram launch,Digital,Children,239,3.78,0.97
2010,Instagram launch,Digital,Romance,235,3.30,1.05
2010,Instagram launch,Digital,Animation,227,3.86,0.89
2010,Instagram launch,Digital,Horror,80,3.38,1.07
2010,Instagram launch,Digital,Musical,72,3.76,0.99
2010,Instagram launch,Digital,Documentary,55,3.95,0.81
2010,Instagram launch,Digital,Western,36,3.51,1.05
2010,Instagram launch,Digital,War,27,3.65,0.78
2010,Instagram launch,Digital,Film-Noir,2,3.75,0.35
2015,Major streaming expansion,Streaming,Adventure,484,3.59,1.03
2015,Major streaming expansion,Streaming,Drama,415,3.48,1.08
2015,Major streaming expansion,Streaming,Action,413,3.35,1.13
2015,Major streaming expansion,Streaming,Comedy,380,3.43,1.09
2015,Major streaming expansion,Streaming,Sci-Fi,354,3.53,1.06
2015,Major streaming expansion,Streaming,Thriller,256,3.25,1.22
2015,Major streaming expansion,Streaming,Crime,147,3.29,1.19
2015,Major streaming expansion,Streaming,Fantasy,131,3.56,1.04
2015,Major streaming expansion,Streaming,Children,95,3.32,1.22
2015,Major streaming expansion,Streaming,Animation,92,3.49,1.10
2015,Major streaming expansion,Streaming,Romance,57,3.21,1.32
2015,Major streaming expansion,Streaming,Horror,45,3.02,1.42
2015,Major streaming expansion,Streaming,IMAX,41,3.85,0.87
2015,Major streaming expansion,Streaming,Mystery,36,2.94,1.18
2015,Major streaming expansion,Streaming,Western,24,3.81,0.72
2015,Major streaming expansion,Streaming,Documentary,23,3.87,0.71
2015,Major streaming expansion,Streaming,War,3,3.67,1.15
2015,Major streaming expansion,Streaming,Musical,1,3.00,
