genre,release_year,average_rating,yoy_change
Action,1990,3.29,-0.16
Action,1991,3.57,0.28
Action,1992,3.12,-0.45
Action,1993,3.34,0.22
Action,1994,3.34,0.00
Action,1995,3.28,-0.06
Action,1996,3.30,0.02
Action,1997,3.16,-0.14
Action,1998,3.35,0.19
Action,1999,3.54,0.19
Action,2000,3.37,-0.17
Action,2001,3.20,-0.17
Action,2002,3.41,0.21
Action,2003,3.44,0.03
Action,2004,3.45,0.01
Action,2005,3.38,-0.07
Action,2006,3.46,0.08
Action,2007,3.48,0.02
Action,2008,3.55,0.07
Action,2009,3.56,0.01
Action,2010,3.51,-0.05
Action,2011,3.41,-0.10
Action,2012,3.55,0.14
Action,2013,3.34,-0.21
Action,2014,3.49,0.15
Action,2015,3.35,-0.14
Action,2016,3.39,0.04
Action,2017,3.61,0.22
Action,2018,3.59,-0.02
Adventure,1902,3.50,
Adventure,1916,3.75,0.25
Adventure,1924,4.00,0.25
Adventure,1925,3.94,-0.06
Adventure,1926,4.00,0.06
Adventure,1933,3.65,-0.35
Adventure,1935,4.13,0.48
Adventure,1936,1.75,-2.38
Adventure,1937,3.25,1.50
Adventure,1938,4.00,0.75
Adventure,1939,3.82,-0.18
Adventure,1940,3.38,-0.44
Adventure,1941,4.00,0.62
Adventure,1943,3.75,-0.25
Adventure,1944,3.60,-0.15
Adventure,1946,3.42,-0.18
Adventure,1948,3.69,0.27
Adventure,1949,2.83,-0.86
Adventure,1950,3.17,0.34
Adventure,1951,3.62,0.45
Adventure,1952,3.00,-0.62
Adventure,1953,3.29,0.29
Adventure,1954,3.89,0.60
Adventure,1955,3.00,-0.89
Adventure,1956,3.61,0.61
Adventure,1957,4.12,0.51
Adventure,1958,4.10,-0.02
Adventure,1959,4.01,-0.09
Adventure,1960,3.57,-0.44
Adventure,1961,3.62,0.05
Adventure,1962,4.03,0.41
Adventure,1963,3.74,-0.29
Adventure,1964,3.71,-0.03
Adventure,1965,3.51,-0.20
Adventure,1966,3.94,0.43
Adventure,1967,3.57,-0.37
Adventure,1968,3.78,0.21
Adventure,1969,3.58,-0.20
Adventure,1970,4.17,0.59
Adventure,1971,3.59,-0.58
Adventure,1972,3.62,0.03
Adventure,1973,3.66,0.04
Adventure,1974,3.42,-0.24
Adventure,1975,4.06,0.64
Adventure,1976,3.46,-0.60
Adventure,1977,3.98,0.52
Adventure,1978,3.49,-0.49
Adventure,1979,3.32,-0.17
Adventure,1980,3.92,0.60
Adventure,1981,3.93,0.01
Adventure,1982,3.49,-0.44
Adventure,1983,3.86,0.37
Adventure,1984,3.47,-0.39
Adventure,1985,3.46,-0.01
Adventure,1986,3.58,0.12
Adventure,1987,3.69,0.11
Adventure,1988,3.32,-0.37
Adventure,1989,3.57,0.25
Adventure,1990,3.63,0.06
Adventure,1991,3.20,-0.43
Adventure,1992,3.65,0.45
Adventure,1993,3.27,-0.38
Adventure,1994,3.38,0.11
Adventure,1995,3.37,-0.01
Adventure,1996,3.36,-0.01
Adventure,1997,3.17,-0.19
Adventure,1998,3.32,0.15
Adventure,1999,3.38,0.06
Adventure,2000,3.43,0.05
Adventure,2001,3.62,0.19
Adventure,2002,3.55,-0.07
Adventure,2003,3.58,0.03
Adventure,2004,3.51,-0.07
Adventure,2005,3.29,-0.22
Adventure,2006,3.59,0.30
Adventure,2007,3.33,-0.26
Adventure,2008,3.48,0.15
Adventure,2009,3.61,0.13
Adventure,2010,3.50,-0.11
Adventure,2011,3.45,-0.05
Adventure,2012,3.60,0.15
Adventure,2013,3.51,-0.09
Adventure,2014,3.54,0.03
Adventure,2015,3.59,0.05
Adventure,2016,3.47,-0.12
Adventure,2017,3.56,0.09
Adventure,2018,3.63,0.07
Animation,1908,4.00,
Animation,1928,2.33,-1.67
Animation,1937,3.62,1.29
Animation,1938,4.00,0.38
Animation,1939,3.25,-0.75
Animation,1940,3.61,0.36
Animation,1941,3.39,-0.22
Animation,1942,3.37,-0.02
Animation,1945,3.67,0.30
Animation,1946,3.42,-0.25
Animation,1949,2.75,-0.67
Animation,1950,3.49,0.74
Animation,1951,3.38,-0.11
Animation,1953,3.58,0.20
Animation,1954,1.00,-2.58
Animation,1955,3.40,2.40
Animation,1959,3.41,0.01
Animation,1961,3.43,0.02
Animation,1963,3.58,0.15
Animation,1964,3.60,0.02
Animation,1965,3.88,0.28
Animation,1966,3.68,-0.20
Animation,1967,3.83,0.15
Animation,1968,3.56,-0.27
Animation,1969,4.10,0.54
Animation,1970,3.45,-0.65
Animation,1971,5.00,1.55
Animation,1972,5.00,0.00
Animation,1973,3.57,-1.43
Animation,1974,3.50,-0.07
Animation,1975,4.50,1.00
Animation,1976,3.67,-0.83
Animation,1977,3.05,-0.62
Animation,1978,3.56,0.51
Animation,1979,3.86,0.30
Animation,1980,5.00,1.14
Animation,1981,3.61,-1.39
Animation,1982,3.60,-0.01
Animation,1983,3.90,0.30
Animation,1984,4.08,0.18
Animation,1985,3.23,-0.85
Animation,1986,3.60,0.37
Animation,1987,3.36,-0.24
Animation,1988,3.69,0.33
Animation,1989,3.62,-0.07
Animation,1990,3.31,-0.31
Animation,1991,3.69,0.38
Animation,1992,3.73,0.04
Animation,1993,3.76,0.03
Animation,1994,3.84,0.08
Animation,1995,3.72,-0.12
Animation,1996,3.24,-0.48
Animation,1997,3.71,0.47
Animation,1998,3.34,-0.37
Animation,1999,3.84,0.50
Animation,2000,3.38,-0.46
Animation,2001,3.80,0.42
Animation,2002,3.57,-0.23
Animation,2003,3.84,0.27
Animation,2004,3.64,-0.20
Animation,2005,3.41,-0.23
Animation,2006,3.45,0.04
Animation,2007,3.60,0.15
Animation,2008,3.71,0.11
Animation,2009,3.77,0.06
Animation,2010,3.86,0.09
Animation,2011,3.37,-0.49
Animation,2012,3.59,0.22
Animation,2013,3.51,-0.08
Animation,2014,3.76,0.25
Animation,2015,3.49,-0.27
Animation,2016,3.67,0.18
Animation,2017,3.44,-0.23
Animation,2018,3.30,-0.14
Children,1928,2.33,
Children,1933,4.00,1.67
Children,1934,5.00,1.00
Children,1937,3.56,-1.44
Children,1938,3.50,-0.06
Children,1939,3.85,0.35
Children,1940,3.61,-0.24
Children,1941,3.39,-0.22
Children,1942,3.37,-0.02
Children,1944,3.75,0.38
Children,1945,3.67,-0.08
Children,1946,3.98,0.31
Children,1948,4.00,0.02
Children,1949,2.89,-1.11
Children,1950,3.48,0.59
Children,1951,3.38,-0.10
Children,1953,3.60,0.22
Children,1955,3.40,-0.20
Children,1956,3.50,0.10
Children,1957,3.44,-0.06
Children,1959,3.21,-0.23
Children,1960,3.33,0.12
Children,1961,3.36,0.03
Children,1962,3.75,0.39
Children,1963,3.48,-0.27
Children,1964,3.89,0.41
Children,1965,3.25,-0.64
Children,1966,3.86,0.61
Children,1967,3.76,-0.10
Children,1968,3.59,-0.17
Children,1969,3.15,-0.44
Children,1970,3.46,0.31
Children,1971,3.80,0.34
Children,1972,3.50,-0.30
Children,1973,3.55,0.05
Children,1974,3.29,-0.26
Children,1975,2.82,-0.47
Children,1976,3.13,0.31
Children,1977,2.92,-0.21
Children,1978,3.12,0.20
Children,1979,3.38,0.26
Children,1980,2.90,-0.48
Children,1981,3.51,0.61
Children,1982,3.67,0.16
Children,1983,3.80,0.13
Children,1984,3.49,-0.31
Children,1985,3.43,-0.06
Children,1986,3.48,0.05
Children,1987,3.13,-0.35
Children,1988,3.47,0.34
Children,1989,3.25,-0.22
Children,1990,2.90,-0.35
Children,1991,3.56,0.66
Children,1992,3.29,-0.27
Children,1993,3.15,-0.14
Children,1994,3.21,0.06
Children,1995,3.46,0.25
Children,1996,3.10,-0.36
Children,1997,2.97,-0.13
Children,1998,3.17,0.20
Children,1999,3.52,0.35
Children,2000,3.22,-0.30
Children,2001,3.67,0.45
Children,2002,3.37,-0.30
Children,2003,3.51,0.14
Children,2004,3.53,0.02
Children,2005,3.24,-0.29
Children,2006,3.15,-0.09
Children,2007,3.48,0.33
Children,2008,3.67,0.19
Children,2009,3.72,0.05
Children,2010,3.78,0.06
Children,2011,3.34,-0.44
Children,2012,3.50,0.16
Children,2013,3.16,-0.34
Children,2014,3.40,0.24
Children,2015,3.32,-0.08
Children,2016,3.55,0.23
Children,2017,3.36,-0.19
Children,2018,3.45,0.09
Comedy,1908,4.00,
Comedy,1916,3.50,-0.50
Comedy,1917,4.50,1.00
Comedy,1919,2.00,-2.50
Comedy,1920,3.50,1.50
Comedy,1921,4.10,0.60
Comedy,1923,3.63,-0.47
Comedy,1924,3.17,-0.46
Comedy,1925,4.06,0.89
Comedy,1926,4.00,-0.06
Comedy,1927,3.50,-0.50
Comedy,1928,3.50,0.00
Comedy,1929,3.50,0.00
Comedy,1930,4.13,0.63
Comedy,1931,3.72,-0.41
Comedy,1932,3.00,-0.72
Comedy,1933,3.74,0.74
Comedy,1934,4.16,0.42
Comedy,1935,4.02,-0.14
Comedy,1936,3.64,-0.38
Comedy,1937,4.39,0.75
Comedy,1938,3.72,-0.67
Comedy,1939,3.67,-0.05
Comedy,1940,4.15,0.48
Comedy,1941,3.75,-0.40
Comedy,1942,3.70,-0.05
Comedy,1944,3.83,0.13
Comedy,1945,3.25,-0.58
Comedy,1946,3.00,-0.25
Comedy,1947,3.89,0.89
Comedy,1948,3.83,-0.06
Comedy,1949,3.83,0.00
Comedy,1950,3.63,-0.20
Comedy,1951,3.95,0.32
Comedy,1952,3.97,0.02
Comedy,1953,3.93,-0.04
Comedy,1954,3.85,-0.08
Comedy,1955,3.51,-0.34
Comedy,1956,3.56,0.05
Comedy,1957,3.50,-0.06
Comedy,1958,3.61,0.11
Comedy,1959,3.81,0.20
Comedy,1960,3.60,-0.21
Comedy,1961,3.54,-0.06
Comedy,1962,3.27,-0.27
Comedy,1963,3.29,0.02
Comedy,1964,3.99,0.70
Comedy,1965,3.35,-0.64
Comedy,1966,3.38,0.03
Comedy,1967,3.84,0.46
Comedy,1968,3.69,-0.15
Comedy,1969,3.32,-0.37
Comedy,1970,3.86,0.54
Comedy,1971,3.92,0.06
Comedy,1972,3.47,-0.45
Comedy,1973,3.82,0.35
Comedy,1974,3.85,0.03
Comedy,1975,3.84,-0.01
Comedy,1976,3.64,-0.20
Comedy,1977,3.55,-0.09
Comedy,1978,3.35,-0.20
Comedy,1979,3.73,0.38
Comedy,1980,3.62,-0.11
Comedy,1981,3.44,-0.18
Comedy,1982,3.22,-0.22
Comedy,1983,3.64,0.42
Comedy,1984,3.47,-0.17
Comedy,1985,3.48,0.01
Comedy,1986,3.28,-0.20
Comedy,1987,3.47,0.19
Comedy,1988,3.34,-0.13
Comedy,1989,3.33,-0.01
Comedy,1990,3.19,-0.14
Comedy,1991,3.23,0.04
Comedy,1992,3.21,-0.02
Comedy,1993,3.26,0.05
Comedy,1994,3.42,0.16
Comedy,1995,3.31,-0.11
Comedy,1996,3.30,-0.01
Comedy,1997,3.35,0.05
Comedy,1998,3.45,0.10
Comedy,1999,3.34,-0.11
Comedy,2000,3.23,-0.11
Comedy,2001,3.34,0.11
Comedy,2002,3.18,-0.16
Comedy,2003,3.39,0.21
Comedy,2004,3.41,0.02
Comedy,2005,3.22,-0.19
Comedy,2006,3.30,0.08
Comedy,2007,3.45,0.15
Comedy,2008,3.37,-0.08
Comedy,2009,3.42,0.05
Comedy,2010,3.47,0.05
Comedy,2011,3.42,-0.05
Comedy,2012,3.37,-0.05
Comedy,2013,3.46,0.09
Comedy,2014,3.43,-0.03
Comedy,2015,3.43,0.00
Comedy,2016,3.44,0.01
Comedy,2017,3.38,-0.06
Comedy,2018,3.64,0.26
Crime,1903,2.50,
Crime,1920,3.86,1.36
Crime,1927,3.50,-0.36
Crime,1931,3.81,0.31
Crime,1932,3.36,-0.45
Crime,1933,4.00,0.64
Crime,1934,3.86,-0.14
Crime,1936,2.25,-1.61
Crime,1937,3.67,1.42
Crime,1938,3.75,0.08
Crime,1939,3.50,-0.25
Crime,1941,4.00,0.50
Crime,1942,3.25,-0.75
Crime,1943,4.17,0.92
Crime,1944,4.33,0.16
Crime,1945,3.57,-0.76
Crime,1946,3.98,0.41
Crime,1947,3.75,-0.23
Crime,1948,4.02,0.27
Crime,1949,3.75,-0.27
Crime,1950,3.91,0.16
Crime,1951,4.02,0.11
Crime,1953,3.50,-0.52
Crime,1954,4.11,0.61
Crime,1955,4.11,0.00
Crime,1956,3.70,-0.41
Crime,1958,4.14,0.44
Crime,1959,3.97,-0.17
Crime,1960,3.97,0.00
Crime,1961,4.50,0.53
Crime,1962,4.17,-0.33
Crime,1963,3.55,-0.62
Crime,1964,3.17,-0.38
Crime,1965,3.73,0.56
Crime,1966,3.42,-0.31
Crime,1967,3.98,0.56
Crime,1968,3.82,-0.16
Crime,1969,3.64,-0.18
Crime,1970,3.75,0.11
Crime,1971,3.95,0.20
Crime,1972,4.28,0.33
Crime,1973,3.94,-0.34
Crime,1974,4.16,0.22
Crime,1975,3.72,-0.44
Crime,1976,3.94,0.22
Crime,1977,3.28,-0.66
Crime,1978,3.40,0.12
Crime,1979,3.69,0.29
Crime,1980,3.18,-0.51
Crime,1981,3.93,0.75
Crime,1982,3.50,-0.43
Crime,1983,3.85,0.35
Crime,1984,3.53,-0.32
Crime,1985,3.10,-0.43
Crime,1986,3.25,0.15
Crime,1987,3.47,0.22
Crime,1988,3.64,0.17
Crime,1989,3.37,-0.27
Crime,1990,3.67,0.30
Crime,1991,3.90,0.23
Crime,1992,3.58,-0.32
Crime,1993,3.54,-0.04
Crime,1994,3.85,0.31
Crime,1995,3.50,-0.35
Crime,1996,3.58,0.08
Crime,1997,3.57,-0.01
Crime,1998,3.62,0.05
Crime,1999,3.97,0.35
Crime,2000,3.63,-0.34
Crime,2001,3.54,-0.09
Crime,2002,3.57,0.03
Crime,2003,3.46,-0.11
Crime,2004,3.50,0.04
Crime,2005,3.59,0.09
Crime,2006,3.69,0.10
Crime,2007,3.67,-0.02
Crime,2008,3.80,0.13
Crime,2009,3.62,-0.18
Crime,2010,3.89,0.27
Crime,2011,3.52,-0.37
Crime,2012,3.64,0.12
Crime,2013,3.46,-0.18
Crime,2014,3.30,-0.16
Crime,2015,3.29,-0.01
Crime,2016,3.32,0.03
Crime,2017,3.86,0.54
Crime,2018,3.00,-0.86
Documentary,1929,3.33,
Documentary,1934,4.00,0.67
Documentary,1949,4.00,0.00
Documentary,1955,4.50,0.50
Documentary,1962,2.00,-2.50
Documentary,1964,3.83,1.83
Documentary,1966,4.17,0.34
Documentary,1967,3.25,-0.92
Documentary,1968,3.50,0.25
Documentary,1971,4.50,1.00
Documentary,1974,4.50,0.00
Documentary,1975,3.50,-1.00
Documentary,1976,5.00,1.50
Documentary,1977,3.83,-1.17
Documentary,1978,3.60,-0.23
Documentary,1980,4.00,0.40
Documentary,1981,3.83,-0.17
Documentary,1982,3.75,-0.08
Documentary,1983,4.02,0.27
Documentary,1984,4.00,-0.02
Documentary,1985,3.42,-0.58
Documentary,1987,3.50,0.08
Documentary,1988,3.71,0.21
Documentary,1989,3.84,0.13
Documentary,1990,4.42,0.58
Documentary,1991,3.66,-0.76
Documentary,1992,4.00,0.34
Documentary,1993,3.60,-0.40
Documentary,1994,4.19,0.59
Documentary,1995,3.90,-0.29
Documentary,1996,4.08,0.18
Documentary,1997,3.53,-0.55
Documentary,1998,3.66,0.13
Documentary,1999,3.73,0.07
Documentary,2000,3.60,-0.13
Documentary,2001,3.78,0.18
Documentary,2002,3.72,-0.06
Documentary,2003,3.95,0.23
Documentary,2004,3.60,-0.35
Documentary,2005,3.68,0.08
Documentary,2006,3.74,0.06
Documentary,2007,3.83,0.09
Documentary,2008,3.65,-0.18
Documentary,2009,3.95,0.30
Documentary,2010,3.95,0.00
Documentary,2011,3.80,-0.15
Documentary,2012,3.65,-0.15
Documentary,2013,4.05,0.40
Documentary,2014,3.98,-0.07
Documentary,2015,3.87,-0.11
Documentary,2016,3.97,0.10
Documentary,2017,4.25,0.28
Documentary,2018,4.00,-0.25
Drama,1915,2.00,
Drama,1916,3.50,1.50
Drama,1919,2.00,-1.50
Drama,1921,4.10,2.10
Drama,1923,3.67,-0.43
Drama,1924,4.25,0.58
Drama,1925,3.59,-0.66
Drama,1926,4.00,0.41
Drama,1927,3.72,-0.28
Drama,1928,3.90,0.18
Drama,1930,4.23,0.33
Drama,1931,3.65,-0.58
Drama,1932,3.44,-0.21
Drama,1933,3.95,0.51
Drama,1934,3.92,-0.03
Drama,1935,3.90,-0.02
Drama,1936,3.68,-0.22
Drama,1937,3.59,-0.09
Drama,1938,3.60,0.01
Drama,1939,3.67,0.07
Drama,1940,4.13,0.46
Drama,1941,3.83,-0.30
Drama,1942,3.94,0.11
Drama,1943,3.81,-0.13
Drama,1944,4.11,0.30
Drama,1945,3.60,-0.51
Drama,1946,3.92,0.32
Drama,1947,3.89,-0.03
Drama,1948,3.87,-0.02
Drama,1949,3.43,-0.44
Drama,1950,4.09,0.66
Drama,1951,3.95,-0.14
Drama,1952,3.92,-0.03
Drama,1953,3.67,-0.25
Drama,1954,3.94,0.27
Drama,1955,3.89,-0.05
Drama,1956,3.79,-0.10
Drama,1957,4.13,0.34
Drama,1958,3.98,-0.15
Drama,1959,3.94,-0.04
Drama,1960,3.75,-0.19
Drama,1961,3.86,0.11
Drama,1962,4.09,0.23
Drama,1963,3.84,-0.25
Drama,1964,3.98,0.14
Drama,1965,3.91,-0.07
Drama,1966,3.87,-0.04
Drama,1967,4.05,0.18
Drama,1968,3.90,-0.15
Drama,1969,3.77,-0.13
Drama,1970,3.93,0.16
Drama,1971,3.98,0.05
Drama,1972,4.06,0.08
Drama,1973,3.82,-0.24
Drama,1974,4.06,0.24
Drama,1975,4.04,-0.02
Drama,1976,3.89,-0.15
Drama,1977,3.53,-0.36
Drama,1978,3.79,0.26
Drama,1979,3.84,0.05
Drama,1980,3.66,-0.18
Drama,1981,3.84,0.18
Drama,1982,3.60,-0.24
Drama,1983,3.58,-0.02
Drama,1984,3.70,0.12
Drama,1985,3.55,-0.15
Drama,1986,3.62,0.07
Drama,1987,3.64,0.02
Drama,1988,3.59,-0.05
Drama,1989,3.65,0.06
Drama,1990,3.66,0.01
Drama,1991,3.46,-0.20
Drama,1992,3.45,-0.01
Drama,1993,3.56,0.11
Drama,1994,3.78,0.22
Drama,1995,3.57,-0.21
Drama,1996,3.54,-0.03
Drama,1997,3.60,0.06
Drama,1998,3.64,0.04
Drama,1999,3.72,0.08
Drama,2000,3.60,-0.12
Drama,2001,3.56,-0.04
Drama,2002,3.60,0.04
Drama,2003,3.70,0.10
Drama,2004,3.61,-0.09
Drama,2005,3.42,-0.19
Drama,2006,3.67,0.25
Drama,2007,3.69,0.02
Drama,2008,3.68,-0.01
Drama,2009,3.64,-0.04
Drama,2010,3.70,0.06
Drama,2011,3.59,-0.11
Drama,2012,3.56,-0.03
Drama,2013,3.58,0.02
Drama,2014,3.54,-0.04
Drama,2015,3.48,-0.06
Drama,2016,3.39,-0.09
Drama,2017,3.51,0.12
Drama,2018,2.88,-0.63
Fantasy,1902,3.50,
Fantasy,1916,3.50,0.00
Fantasy,1920,3.86,0.36
Fantasy,1924,3.50,-0.36
Fantasy,1926,4.00,0.50
Fantasy,1929,4.50,0.50
Fantasy,1933,3.65,-0.85
Fantasy,1934,5.00,1.35
Fantasy,1935,3.50,-1.50
Fantasy,1937,3.62,0.12
Fantasy,1938,3.50,-0.12
Fantasy,1939,3.88,0.38
Fantasy,1940,3.60,-0.28
Fantasy,1941,3.58,-0.02
Fantasy,1943,3.00,-0.58
Fantasy,1945,2.00,-1.00
Fantasy,1946,3.96,1.96
Fantasy,1947,3.93,-0.03
Fantasy,1948,3.50,-0.43
Fantasy,1950,3.56,0.06
Fantasy,1951,3.37,-0.19
Fantasy,1953,3.59,0.22
Fantasy,1954,4.00,0.41
Fantasy,1956,3.50,-0.50
Fantasy,1958,3.94,0.44
Fantasy,1959,2.75,-1.19
Fantasy,1960,3.50,0.75
Fantasy,1961,3.27,-0.23
Fantasy,1962,2.63,-0.64
Fantasy,1963,3.72,1.09
Fantasy,1964,3.89,0.17
Fantasy,1965,3.83,-0.06
Fantasy,1966,3.59,-0.24
Fantasy,1967,2.00,-1.59
Fantasy,1968,3.36,1.36
Fantasy,1969,3.50,0.14
Fantasy,1970,3.83,0.33
Fantasy,1971,3.87,0.04
Fantasy,1972,4.30,0.43
Fantasy,1973,3.88,-0.42
Fantasy,1974,3.90,0.02
Fantasy,1975,4.09,0.19
Fantasy,1976,3.20,-0.89
Fantasy,1977,2.68,-0.52
Fantasy,1978,3.38,0.70
Fantasy,1979,4.14,0.76
Fantasy,1980,1.00,-3.14
Fantasy,1981,3.68,2.68
Fantasy,1982,3.31,-0.37
Fantasy,1983,3.22,-0.09
Fantasy,1984,3.45,0.23
Fantasy,1985,3.51,0.06
Fantasy,1986,3.64,0.13
Fantasy,1987,3.87,0.23
Fantasy,1988,3.55,-0.32
Fantasy,1989,3.13,-0.42
Fantasy,1990,3.41,0.28
Fantasy,1991,3.54,0.13
Fantasy,1992,3.42,-0.12
Fantasy,1993,3.43,0.01
Fantasy,1994,3.12,-0.31
Fantasy,1995,3.57,0.45
Fantasy,1996,2.95,-0.62
Fantasy,1997,3.12,0.17
Fantasy,1998,3.30,0.18
Fantasy,1999,3.48,0.18
Fantasy,2000,3.16,-0.32
Fantasy,2001,3.80,0.64
Fantasy,2002,3.55,-0.25
Fantasy,2003,3.67,0.12
Fantasy,2004,3.44,-0.23
Fantasy,2005,3.31,-0.13
Fantasy,2006,3.40,0.09
Fantasy,2007,3.41,0.01
Fantasy,2008,3.36,-0.05
Fantasy,2009,3.61,0.25
Fantasy,2010,3.53,-0.08
Fantasy,2011,3.46,-0.07
Fantasy,2012,3.42,-0.04
Fantasy,2013,3.32,-0.10
Fantasy,2014,3.47,0.15
Fantasy,2015,3.56,0.09
Fantasy,2016,3.33,-0.23
Fantasy,2017,3.48,0.15
Fantasy,2018,3.12,-0.36
Film-Noir,1931,3.73,
Film-Noir,1932,3.67,-0.06
Film-Noir,1936,3.38,-0.29
Film-Noir,1937,4.50,1.12
Film-Noir,1938,3.75,-0.75
Film-Noir,1940,3.75,0.00
Film-Noir,1941,4.15,0.40
Film-Noir,1942,3.50,-0.65
Film-Noir,1944,4.33,0.83
Film-Noir,1945,3.67,-0.66
Film-Noir,1946,4.09,0.42
Film-Noir,1947,3.78,-0.31
Film-Noir,1948,4.07,0.29
Film-Noir,1949,4.14,0.07
Film-Noir,1950,4.19,0.05
Film-Noir,1951,3.98,-0.21
Film-Noir,1953,4.00,0.02
Film-Noir,1954,3.50,-0.50
Film-Noir,1955,4.04,0.54
Film-Noir,1956,3.50,-0.54
Film-Noir,1957,4.13,0.63
Film-Noir,1958,4.26,0.13
Film-Noir,1960,4.00,-0.26
Film-Noir,1963,4.00,0.00
Film-Noir,1973,4.67,0.67
Film-Noir,1974,4.21,-0.46
Film-Noir,1984,4.00,-0.21
Film-Noir,1986,4.05,0.05
Film-Noir,1987,3.41,-0.64
Film-Noir,1988,3.50,0.09
Film-Noir,1989,3.00,-0.50
Film-Noir,1990,3.88,0.88
Film-Noir,1992,3.60,-0.28
Film-Noir,1993,3.00,-0.60
Film-Noir,1994,4.00,1.00
Film-Noir,1995,3.32,-0.68
Film-Noir,1996,3.04,-0.28
Film-Noir,1997,3.89,0.85
Film-Noir,1998,3.82,-0.07
Film-Noir,2001,3.84,0.02
Film-Noir,2005,3.87,0.03
Film-Noir,2006,2.50,-1.37
Film-Noir,2009,2.75,0.25
Film-Noir,2010,3.75,1.00
Film-Noir,2011,3.78,0.03
Film-Noir,2012,1.50,-2.28
Horror,1920,3.86,
Horror,1922,3.53,-0.33
Horror,1923,3.00,-0.53
Horror,1926,4.00,1.00
Horror,1927,3.00,-1.00
Horror,1931,3.50,0.50
Horror,1932,3.21,-0.29
Horror,1933,3.64,0.43
Horror,1935,3.17,-0.47
Horror,1940,2.50,-0.67
Horror,1941,3.64,1.14
Horror,1942,4.00,0.36
Horror,1943,1.67,-2.33
Horror,1945,2.83,1.16
Horror,1948,3.75,0.92
Horror,1949,2.00,-1.75
Horror,1951,3.50,1.50
Horror,1953,3.50,0.00
Horror,1954,2.83,-0.67
Horror,1955,3.10,0.27
Horror,1956,3.31,0.21
Horror,1957,3.33,0.02
Horror,1958,3.29,-0.04
Horror,1959,2.75,-0.54
Horror,1960,3.76,1.01
Horror,1961,2.63,-1.13
Horror,1962,3.11,0.48
Horror,1963,3.64,0.53
Horror,1964,3.50,-0.14
Horror,1965,2.90,-0.60
Horror,1966,3.00,0.10
Horror,1967,2.58,-0.42
Horror,1968,3.89,1.31
Horror,1969,3.00,-0.89
Horror,1970,3.75,0.75
Horror,1971,3.83,0.08
Horror,1972,2.50,-1.33
Horror,1973,3.66,1.16
Horror,1974,3.30,-0.36
Horror,1975,3.68,0.38
Horror,1976,3.53,-0.15
Horror,1977,3.25,-0.28
Horror,1978,3.26,0.01
Horror,1979,3.75,0.49
Horror,1980,3.67,-0.08
Horror,1981,3.29,-0.38
Horror,1982,3.25,-0.04
Horror,1983,2.71,-0.54
Horror,1984,3.01,0.30
Horror,1985,2.92,-0.09
Horror,1986,3.51,0.59
Horror,1987,3.32,-0.19
Horror,1988,2.84,-0.48
Horror,1989,2.25,-0.59
Horror,1990,3.25,1.00
Horror,1991,4.05,0.80
Horror,1992,2.97,-1.08
Horror,1993,3.26,0.29
Horror,1994,3.27,0.01
Horror,1995,2.91,-0.36
Horror,1996,3.16,0.25
Horror,1997,2.82,-0.34
Horror,1998,2.72,-0.10
Horror,1999,3.26,0.54
Horror,2000,3.13,-0.13
Horror,2001,3.23,0.10
Horror,2002,3.17,-0.06
Horror,2003,2.92,-0.25
Horror,2004,3.26,0.34
Horror,2005,2.85,-0.41
