release_year,genre,average_rating,rating_count
1936,Mystery,2.83,3
1936,Romance,3.65,41
1936,Thriller,2.50,4
1936,Western,3.50,1
1937,Action,2.50,1
1937,Adventure,3.25,2
1937,Animation,3.62,77
1937,Children,3.56,81
1937,Comedy,4.39,9
1937,Crime,3.67,3
1937,Drama,3.59,105
1937,Fantasy,3.62,77
1937,Film-Noir,4.50,1
1937,Musical,3.67,84
1937,Romance,4.06,9
1937,Thriller,2.50,1
1937,War,3.71,7
1938,Action,4.00,10
1938,Adventure,4.00,8
1938,Animation,4.00,2
1938,Children,3.50,5
1938,Comedy,3.72,30
1938,Crime,3.75,2
1938,Drama,3.60,24
1938,Fantasy,3.50,5
1938,Film-Noir,3.75,2
1938,Musical,3.50,1
1938,Mystery,3.92,6
1938,Romance,3.81,32
1938,Thriller,3.88,8
1938,War,4.00,2
1939,Action,3.50,3
1939,Adventure,3.82,100
1939,Animation,3.25,4
1939,Children,3.85,98
1939,Comedy,3.67,21
1939,Crime,3.50,1
1939,Drama,3.67,90
1939,Fantasy,3.88,92
1939,Musical,3.87,93
1939,Mystery,3.50,1
1939,Romance,3.63,64
1939,War,3.61,48
1939,Western,3.60,5
1940,Action,1.83,3
1940,Adventure,3.38,4
1940,Animation,3.61,113
1940,Children,3.61,113
1940,Comedy,4.15,71
1940,Drama,4.13,85
1940,Fantasy,3.60,114
1940,Film-Noir,3.75,2
1940,Horror,2.50,1
1940,Musical,3.60,114
1940,Mystery,4.13,19
1940,Romance,4.20,71
1940,Sci-Fi,1.67,3
1940,Thriller,4.08,20
1940,War,4.13,15
1940,Western,3.00,2
1941,Adventure,4.00,7
1941,Animation,3.39,35
1941,Children,3.39,35
1941,Comedy,3.75,28
1941,Crime,4.00,4
1941,Drama,3.83,125
1941,Fantasy,3.58,6
1941,Film-Noir,4.15,52
1941,Horror,3.64,7
1941,Musical,3.39,36
1941,Mystery,4.08,119
1941,Romance,3.75,22
1941,Thriller,4.06,8
1941,War,3.83,3
1942,Action,3.00,2
1942,Animation,3.37,38
1942,Children,3.37,38
1942,Comedy,3.70,23
1942,Crime,3.25,2
1942,Drama,3.94,161
1942,Film-Noir,3.50,1
1942,Horror,4.00,1
1942,Musical,3.70,10
1942,Mystery,3.70,5
1942,Romance,4.17,115
1942,Thriller,3.79,7
1942,War,3.19,8
1943,Adventure,3.75,2
1943,Crime,4.17,9
1943,Drama,3.81,18
1943,Fantasy,3.00,1
1943,Horror,1.67,3
1943,Romance,3.75,2
1943,Thriller,4.17,9
1943,War,3.75,2
1943,Western,4.50,1
1944,Action,3.50,2
1944,Adventure,3.60,5
1944,Children,3.75,2
1944,Comedy,3.83,33
1944,Crime,4.33,23
1944,Drama,4.11,45
1944,Film-Noir,4.33,23
1944,Musical,3.96,12
1944,Mystery,3.96,35
1944,Romance,3.94,8
1944,Thriller,3.89,40
1944,War,3.93,14
1945,Animation,3.67,6
1945,Children,3.67,6
1945,Comedy,3.25,6
1945,Crime,3.57,7
1945,Drama,3.60,10
1945,Fantasy,2.00,2
1945,Film-Noir,3.67,3
1945,Horror,2.83,6
1945,Musical,3.45,11
1945,Mystery,3.58,18
1945,Romance,3.83,9
1945,Thriller,3.92,12
1945,War,3.67,3
1946,Adventure,3.42,6
1946,Animation,3.42,6
1946,Children,3.98,65
1946,Comedy,3.00,1
1946,Crime,3.98,21
1946,Drama,3.92,91
1946,Fantasy,3.96,64
1946,Film-Noir,4.09,47
1946,Musical,3.28,9
1946,Mystery,4.02,23
1946,Romance,4.08,87
1946,Thriller,4.06,26
1946,War,4.06,9
1946,Western,4.00,2
1947,Comedy,3.89,31
1947,Crime,3.75,10
1947,Drama,3.89,35
1947,Fantasy,3.93,7
1947,Film-Noir,3.78,9
1947,Musical,3.50,1
1947,Mystery,3.50,2
1947,Romance,3.92,12
1947,Thriller,3.75,2
1948,Action,3.67,18
1948,Adventure,3.69,21
1948,Children,4.00,1
1948,Comedy,3.83,6
1948,Crime,4.02,23
1948,Drama,3.87,70
1948,Fantasy,3.50,1
1948,Film-Noir,4.07,15
1948,Horror,3.75,4
1948,Musical,3.38,4
1948,Mystery,2.50,1
1948,Romance,3.40,5
1948,Thriller,3.94,26
1948,War,3.50,1
1948,Western,3.68,17
1949,Action,2.50,1
1949,Adventure,2.83,6
1949,Animation,2.75,4
1949,Children,2.89,9
1949,Comedy,3.83,18
1949,Crime,3.75,4
1949,Documentary,4.00,1
1949,Drama,3.43,29
1949,Film-Noir,4.14,29
1949,Horror,2.00,1
1949,Musical,3.33,6
1949,Mystery,4.22,25
1949,Romance,3.82,14
1949,Thriller,4.19,26
1949,War,3.50,2
1949,Western,2.50,2
1950,Action,3.00,1
1950,Adventure,3.17,3
1950,Animation,3.49,42
1950,Children,3.48,44
1950,Comedy,3.63,35
1950,Crime,3.91,22
1950,Drama,4.09,77
1950,Fantasy,3.56,54
1950,Film-Noir,4.19,32
1950,Musical,3.47,43
1950,Mystery,3.82,22
1950,Romance,3.77,77
1950,Thriller,3.50,2
1950,War,3.00,1
1950,Western,3.25,4
1951,Action,3.00,3
1951,Adventure,3.62,77
1951,Animation,3.38,40
1951,Children,3.38,40
1951,Comedy,3.95,39
1951,Crime,4.02,27
1951,Drama,3.95,85
1951,Fantasy,3.37,42
1951,Film-Noir,3.98,25
1951,Horror,3.50,4
1951,Musical,3.45,55
1951,Romance,3.85,53
1951,Sci-Fi,3.81,31
1951,Thriller,3.90,50
1951,War,3.89,38
1952,Adventure,3.00,2
1952,Comedy,3.97,59
1952,Drama,3.92,39
1952,Musical,4.07,47
1952,Romance,3.99,62
1952,Sci-Fi,2.50,2
1952,War,3.50,1
1952,Western,4.21,19
1953,Action,3.30,23
1953,Adventure,3.29,7
1953,Animation,3.58,42
1953,Children,3.60,44
1953,Comedy,3.93,42
1953,Crime,3.50,4
1953,Drama,3.67,88
1953,Fantasy,3.59,43
1953,Film-Noir,4.00,1
1953,Horror,3.50,3
1953,Musical,3.62,53
1953,Mystery,3.50,3
1953,Romance,3.97,46
1953,Sci-Fi,3.15,13
1953,Thriller,3.33,12
1953,War,3.85,20
1953,Western,3.83,6
1954,Action,4.19,48
1954,Adventure,3.89,69
1954,Animation,1.00,1
1954,Comedy,3.85,42
1954,Crime,4.11,51
1954,Drama,3.94,109
1954,Fantasy,4.00,3
1954,Film-Noir,3.50,1
1954,Horror,2.83,12
1954,Musical,4.00,16
1954,Mystery,4.22,109
1954,Romance,3.86,45
1954,Sci-Fi,3.21,29
1954,Thriller,4.20,115
1954,War,4.00,2
1954,Western,3.75,4
1955,Action,4.00,1
1955,Adventure,3.00,1
1955,Animation,3.40,55
1955,Children,3.40,55
1955,Comedy,3.51,91
1955,Crime,4.11,33
1955,Documentary,4.50,1
1955,Drama,3.89,66
1955,Film-Noir,4.04,12
1955,Horror,3.10,5
1955,Musical,4.05,10
1955,Mystery,3.93,34
1955,Romance,3.72,97
1955,Sci-Fi,2.00,2
1955,Thriller,4.05,38
1955,War,3.89,14
1955,Western,3.88,4
1956,Adventure,3.61,27
1956,Children,3.50,1
1956,Comedy,3.56,16
1956,Crime,3.70,10
1956,Drama,3.79,71
1956,Fantasy,3.50,1
1956,Film-Noir,3.50,15
1956,Horror,3.31,16
1956,Musical,3.94,16
1956,Mystery,3.56,9
1956,Romance,3.95,21
1956,Sci-Fi,3.45,30
1956,Thriller,3.62,30
1956,War,3.50,1
1956,Western,3.73,15
1957,(no genres listed),3.00,1
1957,Action,4.00,5
1957,Adventure,4.12,46
1957,Children,3.44,9
1957,Comedy,3.50,18
1957,Drama,4.13,190
1957,Film-Noir,4.13,4
1957,Horror,3.33,3
1957,Musical,3.23,11
1957,Mystery,4.39,9
1957,Romance,3.79,17
1957,Sci-Fi,3.20,5
1957,Thriller,4.17,15
1957,War,4.19,62
1957,Western,4.00,1
1958,Action,4.19,8
1958,Adventure,4.10,10
1958,Comedy,3.61,19
1958,Crime,4.14,21
1958,Drama,3.98,84
1958,Fantasy,3.94,9
1958,Film-Noir,4.26,17
1958,Horror,3.29,21
1958,Musical,3.56,16
1958,Mystery,3.91,73
1958,Romance,3.91,78
1958,Sci-Fi,3.36,21
1958,Thriller,4.07,79
1958,War,3.73,15
1958,Western,3.25,2
1959,Action,4.05,95
1959,Adventure,4.01,98
1959,Animation,3.41,22
1959,Children,3.21,33
1959,Comedy,3.81,65
1959,Crime,3.97,64
1959,Drama,3.94,68
1959,Fantasy,2.75,4
1959,Horror,2.75,18
1959,Musical,3.46,25
1959,Mystery,4.17,61
1959,Romance,4.07,68
1959,Sci-Fi,2.75,16
1959,Thriller,4.16,58
1959,War,3.67,15
1959,Western,3.75,4
1960,Action,3.56,26
1960,Adventure,3.57,34
1960,Children,3.33,18
1960,Comedy,3.60,57
1960,Crime,3.97,107
1960,Drama,3.75,91
1960,Fantasy,3.50,1
1960,Film-Noir,4.00,1
1960,Horror,3.76,109
1960,Musical,3.50,3
1960,Mystery,3.83,3
1960,Romance,3.83,53
1960,Sci-Fi,3.22,16
1960,Thriller,2.85,10
1960,War,3.55,19
1960,Western,3.62,26
1961,Action,3.96,27
1961,Adventure,3.62,73
1961,Animation,3.43,44
1961,Children,3.36,70
1961,Comedy,3.54,34
1961,Crime,4.50,1
1961,Drama,3.86,127
1961,Fantasy,3.27,15
1961,Horror,2.63,4
1961,Musical,3.58,40
1961,Romance,3.72,95
1961,Sci-Fi,2.17,3
1961,War,3.80,15
1961,Western,3.17,3
1962,Action,3.77,50
1962,Adventure,4.03,85
1962,Children,3.75,6
1962,Comedy,3.27,13
1962,Crime,4.17,50
1962,Documentary,2.00,1
1962,Drama,4.09,174
1962,Fantasy,2.63,4
1962,Horror,3.11,9
1962,Musical,3.14,7
1962,Mystery,1.50,2
1962,Romance,3.78,18
1962,Sci-Fi,2.83,6
1962,Thriller,3.98,83
1962,War,4.21,88
1962,Western,4.21,7
1963,Action,3.85,96
1963,Adventure,3.74,121
1963,Animation,3.58,25
1963,Children,3.48,31
1963,Comedy,3.29,70
1963,Crime,3.55,37
1963,Drama,3.84,90
1963,Fantasy,3.72,45
1963,Film-Noir,4.00,1
1963,Horror,3.64,57
1963,Musical,3.58,25
1963,Mystery,3.82,14
1963,Romance,3.79,21
1963,Sci-Fi,2.68,19
1963,Thriller,3.62,117
1963,War,4.06,47
1963,Western,3.75,4
1964,Action,3.86,99
1964,Adventure,3.71,80
1964,Animation,3.60,5
1964,Children,3.89,74
1964,Comedy,3.99,240
1964,Crime,3.17,3
1964,Documentary,3.83,3
1964,Drama,3.98,65
1964,Fantasy,3.89,77
1964,Horror,3.50,8
1964,Musical,3.87,134
1964,Mystery,3.67,6
1964,Romance,3.96,51
1964,Sci-Fi,2.33,3
1964,Thriller,3.82,63
1964,War,4.23,108
1964,Western,3.96,40
1965,Action,3.81,72
1965,Adventure,3.51,38
1965,Animation,3.88,8
1965,Children,3.25,14
1965,Comedy,3.35,50
1965,Crime,3.73,13
1965,Drama,3.91,93
1965,Fantasy,3.83,3
1965,Horror,2.90,5
1965,Musical,3.81,78
1965,Mystery,3.21,12
1965,Romance,3.97,98
1965,Sci-Fi,3.61,9
1965,Thriller,3.77,67
1965,War,4.00,27
1965,Western,3.93,42
1966,Action,4.07,81
1966,Adventure,3.94,87
1966,Animation,3.68,17
1966,Children,3.86,7
1966,Comedy,3.38,49
1966,Crime,3.42,13
1966,Documentary,4.17,3
1966,Drama,3.87,60
1966,Fantasy,3.59,11
1966,Horror,3.00,1
1966,Musical,3.56,18
1966,Mystery,3.63,8
1966,Romance,3.58,13
1966,Sci-Fi,3.28,18
1966,Thriller,3.33,6
1966,War,4.05,11
1966,Western,4.13,74
1967,Action,3.76,55
1967,Adventure,3.57,30
1967,Animation,3.83,53
1967,Children,3.76,66
1967,Comedy,3.84,161
1967,Crime,3.98,47
1967,Documentary,3.25,2
1967,Drama,4.05,272
1967,Fantasy,2.00,1
1967,Horror,2.58,6
1967,Musical,3.82,68
1967,Mystery,3.92,13
1967,Romance,4.07,81
1967,Sci-Fi,3.54,14
1967,Thriller,3.58,26
1967,War,3.97,32
1967,Western,3.00,1
1968,(no genres listed),3.00,1
1968,Action,3.91,91
1968,Adventure,3.78,153
1968,Animation,3.56,33
1968,Children,3.59,34
1968,Comedy,3.69,101
1968,Crime,3.82,22
1968,Documentary,3.50,3
1968,Drama,3.90,277
1968,Fantasy,3.36,25
1968,Horror,3.89,66
1968,Musical,3.46,52
1968,Mystery,2.50,2
1968,Romance,3.78,27
1968,Sci-Fi,3.81,205
1968,Thriller,3.95,77
1968,War,3.83,6
1968,Western,4.17,24
1969,Action,3.81,93
1969,Adventure,3.58,65
1969,Animation,4.10,5
1969,Children,3.15,20
1969,Comedy,3.32,47
1969,Crime,3.64,22
1969,Drama,3.77,76
1969,Fantasy,3.50,4
1969,Horror,3.00,1
1969,Musical,3.00,7
1969,Mystery,3.83,3
1969,Romance,3.36,21
1969,Sci-Fi,3.00,1
1969,Thriller,3.39,22
1969,War,4.10,5
1969,Western,3.88,84
1970,Action,3.48,42
1970,Adventure,4.17,3
1970,Animation,3.45,47
1970,Children,3.46,48
1970,Comedy,3.86,78
1970,Crime,3.75,6
1970,Drama,3.93,117
1970,Fantasy,3.83,6
1970,Horror,3.75,2
1970,Mystery,3.00,3
1970,Romance,3.70,5
1970,Sci-Fi,2.78,18
1970,Thriller,3.79,7
1970,War,3.99,112
1970,Western,4.03,31
1971,Action,3.60,134
1971,Adventure,3.59,56
1971,Animation,5.00,2
1971,Children,3.80,144
1971,Comedy,3.92,196
1971,Crime,3.95,188
1971,Documentary,4.50,1
1971,Drama,3.98,218
1971,Fantasy,3.87,119
1971,Horror,3.83,3
1971,Musical,3.81,151
1971,Mystery,3.65,24
1971,Romance,4.22,29
1971,Sci-Fi,3.86,156
1971,Thriller,3.87,230
1971,War,3.38,12
1971,Western,3.65,10
1972,Action,3.21,42
1972,Adventure,3.62,61
1972,Animation,5.00,1
1972,Children,3.50,2
1972,Comedy,3.47,46
1972,Crime,4.28,201
1972,Drama,4.06,305
1972,Fantasy,4.30,5
1972,Horror,2.50,6
1972,Musical,3.14,7
1972,Mystery,4.19,16
1972,Romance,4.12,13
1972,Sci-Fi,3.10,31
1972,Thriller,3.84,43
1972,War,4.00,1
1972,Western,4.40,5
1973,Action,3.62,81
1973,Adventure,3.66,67
1973,Animation,3.57,62
1973,Children,3.55,58
1973,Comedy,3.82,194
1973,Crime,3.94,155
1973,Drama,3.82,172
1973,Fantasy,3.88,4
1973,Film-Noir,4.67,3
1973,Horror,3.66,67
1973,Musical,3.55,39
1973,Mystery,3.73,78
1973,Romance,3.42,6
1973,Sci-Fi,3.48,82
1973,Thriller,3.62,95
1973,War,4.50,1
1973,Western,3.71,31
1974,Action,3.34,53
1974,Adventure,3.42,38
1974,Animation,3.50,1
1974,Children,3.29,14
1974,Comedy,3.85,160
1974,Crime,4.16,213
1974,Documentary,4.50,2
1974,Drama,4.06,189
1974,Fantasy,3.90,80
1974,Film-Noir,4.21,59
1974,Horror,3.30,22
1974,Musical,4.33,3
1974,Mystery,4.13,84
1974,Romance,3.31,21
1974,Sci-Fi,2.50,2
1974,Thriller,3.87,109
1974,Western,3.94,62
1975,Action,3.90,103
1975,Adventure,4.06,171
1975,Animation,4.50,1
1975,Children,2.82,19
1975,Comedy,3.84,261
1975,Crime,3.72,67
1975,Documentary,3.50,1
1975,Drama,4.04,252
1975,Fantasy,4.09,145
1975,Horror,3.68,161
1975,Musical,3.33,75
1975,Mystery,3.43,35
1975,Romance,3.61,35
1975,Sci-Fi,3.29,87
1975,Thriller,3.38,34
1975,War,3.71,7
1975,Western,2.60,10
1976,Action,3.70,55
1976,Adventure,3.46,64
1976,Animation,3.67,3
1976,Children,3.13,8
1976,Comedy,3.64,62
1976,Crime,3.94,132
1976,Documentary,5.00,1
1976,Drama,3.89,313
1976,Fantasy,3.20,53
1976,Horror,3.53,63
1976,Musical,2.75,2
1976,Mystery,3.68,30
1976,Romance,2.82,19
1976,Sci-Fi,3.14,43
1976,Thriller,3.81,251
1976,War,3.40,10
1976,Western,4.21,19
1977,(no genres listed),4.00,1
1977,Action,4.10,293
1977,Adventure,3.98,367
1977,Animation,3.05,32
1977,Children,2.92,43
1977,Comedy,3.55,129
1977,Crime,3.28,16
1977,Documentary,3.83,6
1977,Drama,3.53,134
1977,Fantasy,2.68,20
1977,Horror,3.25,28
1977,Musical,2.86,18
1977,Mystery,3.83,3
1977,Romance,3.76,85
1977,Sci-Fi,4.12,313
1977,Thriller,3.32,25
1977,War,3.63,16
1977,Western,3.00,1
1978,Action,3.60,127
1978,Adventure,3.49,97
1978,Animation,3.56,26
1978,Children,3.12,34
1978,Comedy,3.35,189
1978,Crime,3.40,5
1978,Documentary,3.60,5
1978,Drama,3.79,121
1978,Fantasy,3.38,28
1978,Horror,3.26,99
1978,Musical,3.12,69
1978,Mystery,3.63,19
1978,Romance,3.16,69
1978,Sci-Fi,3.32,85
1978,Thriller,3.13,44
1978,War,3.66,61
1978,Western,3.00,1
1979,Action,3.76,218
1979,Adventure,3.32,163
1979,Animation,3.86,7
1979,Children,3.38,50
1979,Comedy,3.73,258
1979,Crime,3.69,16
1979,Drama,3.84,293
1979,Fantasy,4.14,7
1979,Horror,3.75,185
1979,Musical,3.60,44
1979,Mystery,3.05,28
1979,Romance,4.06,40
1979,Sci-Fi,3.55,297
1979,Thriller,3.25,75
1979,War,4.16,113
1979,Western,2.80,5
1980,(no genres listed),4.50,1
1980,Action,3.89,375
1980,Adventure,3.92,296
1980,Animation,5.00,1
1980,Children,2.90,5
1980,Comedy,3.62,337
1980,Crime,3.18,22
1980,Documentary,4.00,1
1980,Drama,3.66,179
1980,Fantasy,1.00,2
1980,Horror,3.67,158
1980,Musical,3.55,112
1980,Mystery,2.94,27
1980,Romance,3.23,40
1980,Sci-Fi,3.90,291
1980,Thriller,3.20,33
1980,War,4.04,13
1980,Western,4.00,1
1981,Action,3.95,440
1981,Adventure,3.93,429
1981,Animation,3.61,57
1981,Children,3.51,34
1981,Comedy,3.44,181
1981,Crime,3.93,21
1981,Documentary,3.83,3
1981,Drama,3.84,163
1981,Fantasy,3.68,107
1981,Horror,3.29,105
1981,Musical,3.63,20
1981,Mystery,3.31,16
1981,Romance,3.39,32
1981,Sci-Fi,3.68,165
1981,Thriller,3.67,201
1981,War,4.07,84
1982,Action,3.67,390
1982,Adventure,3.49,240
1982,Animation,3.60,30
1982,Children,3.67,166
1982,Comedy,3.22,250
1982,Crime,3.50,34
1982,Documentary,3.75,8
1982,Drama,3.60,401
1982,Fantasy,3.31,85
1982,Horror,3.25,152
1982,Musical,3.13,76
1982,Mystery,3.83,15
1982,Romance,3.33,146
1982,Sci-Fi,3.80,420
1982,Thriller,3.80,338
1982,War,3.95,11
1982,Western,3.38,4
1983,Action,3.77,329
1983,Adventure,3.86,253
1983,Animation,3.90,5
1983,Children,3.80,69
1983,Comedy,3.64,355
1983,Crime,3.85,79
1983,Documentary,4.02,22
1983,Drama,3.58,265
1983,Fantasy,3.22,29
1983,Horror,2.71,55
1983,Musical,2.50,5
1983,Mystery,2.82,17
1983,Romance,2.81,32
1983,Sci-Fi,3.84,260
1983,Thriller,3.18,95
1983,War,3.50,2
1983,Western,3.40,5
1984,Action,3.59,556
1984,Adventure,3.47,378
1984,Animation,4.08,26
1984,Children,3.49,63
1984,Comedy,3.47,619
1984,Crime,3.53,109
1984,Documentary,4.00,9
1984,Drama,3.70,390
1984,Fantasy,3.45,250
1984,Film-Noir,4.00,19
1984,Horror,3.01,115
1984,Musical,3.03,36
1984,Mystery,3.00,3
1984,Romance,3.35,191
1984,Sci-Fi,3.63,470
1984,Thriller,3.54,198
1984,War,3.57,54
1985,Action,3.08,232
1985,Adventure,3.46,470
1985,Animation,3.23,13
1985,Children,3.43,101
1985,Comedy,3.48,754
1985,Crime,3.10,76
1985,Documentary,3.42,6
1985,Drama,3.55,376
1985,Fantasy,3.51,234
1985,Horror,2.92,77
1985,Musical,4.67,3
1985,Mystery,3.29,64
1985,Romance,3.28,239
1985,Sci-Fi,3.76,368
1985,Thriller,3.35,169
1985,War,3.91,23
1985,Western,3.58,13
1986,Action,3.51,451
1986,Adventure,3.58,604
1986,Animation,3.60,64
1986,Children,3.48,94
1986,Comedy,3.28,644
1986,Crime,3.25,96
1986,Drama,3.62,559
1986,Fantasy,3.64,176
1986,Film-Noir,4.05,11
1986,Horror,3.51,268
1986,Musical,3.60,84
1986,Mystery,3.73,97
1986,Romance,3.29,219
1986,Sci-Fi,3.53,328
1986,Thriller,3.44,199
1986,War,3.81,83
1986,Western,3.13,26
1987,Action,3.61,604
1987,Adventure,3.69,242
1987,Animation,3.36,22
1987,Children,3.13,35
1987,Comedy,3.47,822
1987,Crime,3.47,294
1987,Documentary,3.50,6
1987,Drama,3.64,654
1987,Fantasy,3.87,233
1987,Film-Noir,3.41,16
1987,Horror,3.32,158
1987,Musical,3.28,44
1987,Mystery,3.30,43
1987,Romance,3.69,341
1987,Sci-Fi,3.25,293
1987,Thriller,3.29,314
1987,War,3.98,161
1987,Western,4.10,10
1988,Action,3.39,435
1988,Adventure,3.32,287
1988,Animation,3.69,215
1988,Children,3.47,175
1988,Comedy,3.34,814
1988,Crime,3.64,437
1988,Documentary,3.71,19
1988,Drama,3.59,571
1988,Fantasy,3.55,419
1988,Film-Noir,3.50,1
1988,Horror,2.84,78
1988,Musical,2.85,30
1988,Mystery,3.49,118
1988,Romance,3.45,337
1988,Sci-Fi,3.21,107
1988,Thriller,3.43,313
1988,War,2.94,36
1988,Western,3.06,27
1989,Action,3.45,574
1989,Adventure,3.57,497
1989,Animation,3.62,145
1989,Children,3.25,269
1989,Comedy,3.33,897
1989,Crime,3.37,323
1989,Documentary,3.84,31
1989,Drama,3.65,634
1989,Fantasy,3.13,226
1989,Film-Noir,3.00,1
1989,Horror,2.25,40
1989,Musical,3.42,71
1989,Mystery,2.92,12
1989,Romance,3.58,258
1989,Sci-Fi,3.25,391
1989,Thriller,3.38,321
1989,War,3.99,77
1989,Western,3.75,2
1990,(no genres listed),2.50,1
1990,Action,3.29,501
1990,Adventure,3.63,539
1990,Animation,3.31,16
1990,Children,2.90,176
1990,Comedy,3.19,781
1990,Crime,3.67,381
1990,Documentary,4.42,6
1990,Drama,3.66,843
1990,Fantasy,3.41,254
1990,Film-Noir,3.88,47
1990,Horror,3.25,197
1990,Musical,3.45,11
1990,Mystery,3.47,112
1990,Romance,3.45,476
1990,Sci-Fi,3.27,292
1990,Thriller,3.52,648
1990,War,3.11,19
1990,Western,3.64,265
1991,Action,3.57,437
1991,Adventure,3.20,231
1991,Animation,3.69,161
1991,Children,3.56,210
1991,Comedy,3.23,536
1991,Crime,3.90,421
1991,Documentary,3.66,16
1991,Drama,3.46,487
1991,Fantasy,3.54,338
1991,Horror,4.05,297
1991,IMAX,3.77,146
1991,Musical,3.70,180
1991,Mystery,3.42,107
1991,Romance,3.58,342
1991,Sci-Fi,3.65,354
1991,Thriller,3.91,420
1991,War,3.13,15
1991,Western,3.21,41
1992,(no genres listed),4.75,2
1992,Action,3.12,456
1992,Adventure,3.65,237
1992,Animation,3.73,213
1992,Children,3.29,314
1992,Comedy,3.21,958
1992,Crime,3.58,566
1992,Documentary,4.00,11
1992,Drama,3.45,826
1992,Fantasy,3.42,128
1992,Film-Noir,3.60,10
1992,Horror,2.97,158
1992,IMAX,2.50,1
1992,Musical,3.73,215
1992,Mystery,3.87,195
1992,Romance,3.32,355
1992,Sci-Fi,2.89,189
1992,Thriller,3.49,590
1992,War,3.80,44
1992,Western,3.91,102
1993,Action,3.34,949
1993,Adventure,3.27,701
1993,Animation,3.76,169
1993,Children,3.15,426
1993,Comedy,3.26,1519
1993,Crime,3.54,258
1993,Documentary,3.60,10
1993,Drama,3.56,1577
1993,Fantasy,3.43,507
1993,Film-Noir,3.00,1
1993,Horror,3.26,103
1993,Musical,3.54,118
1993,Mystery,3.05,69
1993,Romance,3.51,711
1993,Sci-Fi,3.25,447
1993,Thriller,3.52,985
